"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000011105.14",3869,5349,3789,4858,1929,3974,2270,4713,5075,6952
"ENSG00000011114.15",3057,4027,2803,954,4070,2831,1325,3126,2894,1430
"ENSG00000011132.12",312,745,336,876,1047,506,315,588,561,989
"ENSG00000011143.19",491,1694,1249,1208,1151,865,408,955,787,1195
"ENSG00000011198.10",4338,2672,4899,2120,3029,3593,6343,2394,2330,2146
"ENSG00000011201.12",7726,963,7649,2047,411,826,571,1046,1155,563
"ENSG00000011243.18",1354,1884,2880,2222,1159,1247,806,1257,1529,1652
"ENSG00000011258.16",1926,3031,3406,403,3517,1840,1135,1816,1083,910
"ENSG00000011260.14",5783,2331,5412,2446,3874,1379,649,1404,2070,2012
"ENSG00000011275.19",3559,2983,3534,2755,5042,3519,1736,3312,4686,3414
"ENSG00000011295.16",4776,6900,9052,5395,3881,3032,1489,3784,4635,3671
"ENSG00000011304.22",8123,23391,15684,14175,33101,9868,5037,9552,14942,14075
"ENSG00000011332.19",21,32,29,137,59,16,3,19,35,39
"ENSG00000011347.10",3844,8292,21282,8038,4004,3091,271,3863,4172,3382
"ENSG00000011376.12",2489,2438,2644,1216,2623,1279,444,1335,1093,1097
"ENSG00000011405.13",6226,7720,8532,1155,5930,4525,2592,3635,3633,1628
"ENSG00000011422.12",2499,2027,560,1826,10421,785,215,363,1670,1423
"ENSG00000011426.11",1368,1521,1069,1345,13277,203,18,130,146,43
"ENSG00000011451.21",2139,6137,5326,1827,5683,3153,2953,2790,3813,3797
"ENSG00000011454.18",4273,7855,3100,1653,5922,4734,2405,4781,4971,3216
"ENSG00000011465.18",78846,19514,14370,17984,14313,56246,60025,12654,286708,121027
"ENSG00000011478.13",238,1105,1069,855,601,539,377,660,492,1304
"ENSG00000011485.15",1424,4863,3907,2346,3065,2017,1581,1907,2702,2807
"ENSG00000011523.14",1617,2948,3363,829,1385,3064,2110,3416,3025,1964
"ENSG00000011566.15",2562,6884,2779,967,2561,1936,1033,1993,1994,1067
"ENSG00000011590.14",14,17,185,19,40,19,8,19,13,30
"ENSG00000011600.12",1941,1672,1310,3938,3318,1599,659,1352,2205,3726
"ENSG00000011638.11",1456,9699,1445,682,2122,2230,946,2598,2614,2983
"ENSG00000011677.13",1860,1,0,19,7,0,0,0,11,0
"ENSG00000012048.23",618,1904,2648,782,1150,557,123,439,463,234
"ENSG00000012061.16",1178,5239,2891,2569,2278,2200,1200,2481,3435,4628
"ENSG00000012124.17",71,1401,511,194,68,202,34,513,337,937
"ENSG00000012171.20",1502,1145,289,7617,5716,1175,279,414,2262,2738
"ENSG00000012174.12",3751,3803,4820,1334,1535,1336,971,1145,1361,844
"ENSG00000012211.13",625,985,575,750,558,383,331,400,426,534
"ENSG00000012223.13",2659,842486,80,47,823,65705,1565,169285,137664,67289
"ENSG00000012232.9",2533,2962,2745,2799,11823,2587,1649,2613,3303,2894
"ENSG00000012504.15",0,0,0,2,0,0,1,0,0,5
"ENSG00000012660.14",24875,32727,4721,9901,15276,17720,14843,10097,24518,16383
"ENSG00000012779.11",970,774,481,583,3171,1236,136,1328,3391,4127
"ENSG00000012817.16",0,0,1,1602,0,0,0,0,0,0
"ENSG00000012822.16",4386,4847,7429,2021,1681,7643,6367,7236,8883,7865
"ENSG00000012963.15",2876,4776,4745,2954,3057,1958,1362,2935,3023,2011
"ENSG00000012983.11",3349,3575,2158,1129,3329,2807,1441,2564,3205,1742
"ENSG00000013016.16",1991,1523,2601,554,355,2203,167,1575,2521,1528
"ENSG00000013275.8",4205,9559,5739,5396,4777,2668,1542,2544,3735,5254
"ENSG00000013288.9",5899,6047,4054,2036,3310,3611,2274,3537,6924,3659
"ENSG00000013293.6",0,0,0,0,2,12,30,25,20,16
"ENSG00000013297.12",446,79,149,105,163,1136,544,2512,2917,2626
"ENSG00000013306.16",5718,8647,11100,15933,10832,3549,2634,4512,4625,9435
"ENSG00000013364.19",20041,10097,2837,23085,5842,5814,2706,4984,10879,12791
"ENSG00000013374.16",4470,3920,6567,2453,3173,3941,3244,3523,4495,4154
"ENSG00000013375.16",4530,5032,2011,1424,5611,1472,1439,1183,1612,965
"ENSG00000013392.8",1000,893,691,479,521,339,404,374,337,418
"ENSG00000013441.16",3355,6214,4685,2299,3293,5244,4161,5578,1878,3902
"ENSG00000013503.10",1243,1676,1208,266,585,683,331,701,855,492
"ENSG00000013523.11",2807,1924,3137,1230,1624,1476,563,1483,1636,1047
"ENSG00000013561.18",5757,4965,7565,2916,2627,2687,1760,3005,3064,2887
"ENSG00000013563.14",758,688,592,563,431,397,326,319,494,484
"ENSG00000013573.17",1244,1345,1441,1157,5168,1406,579,712,295,1514
"ENSG00000013583.10",8710,3084,191434,57449,4231,2627,1943,2800,3494,4581
"ENSG00000013588.9",21569,17638,54137,23737,12617,5009,365,2569,13374,4500
"ENSG00000013619.14",179,614,911,283,429,438,1320,275,471,325
"ENSG00000013725.14",55,229,52,328,673,176,88,411,176,404
"ENSG00000013810.20",934,2977,1284,3992,7419,569,266,398,388,620
"ENSG00000014123.10",6510,6379,3727,1032,1990,2448,1960,1993,2224,1228
"ENSG00000014138.9",108,275,185,1376,424,145,89,164,174,330
"ENSG00000014164.7",1139,2130,1709,1993,3246,917,1089,1274,1254,1508
"ENSG00000014216.16",12051,14907,6252,29003,16468,7745,2786,10415,15972,16273
"ENSG00000014257.16",27,61,13,36,30,106,23,231,149,108
"ENSG00000014641.21",7815,12097,8040,5720,6733,6634,7785,5493,5560,8236
"ENSG00000014824.14",6302,8509,9552,2498,6225,2823,1753,3521,4553,3083
"ENSG00000014914.21",941,3469,614,778,2601,696,138,713,917,1379
"ENSG00000014919.13",3356,3299,4450,2681,2189,1497,1343,1934,2013,1571
"ENSG00000015133.19",1810,9547,4928,1574,5553,2779,630,2156,2801,2111
"ENSG00000015153.15",1532,1117,1162,589,996,587,696,564,695,599
"ENSG00000015171.20",18030,16338,15248,3553,7691,7338,3914,7357,8047,4745
